,targets,gpt3_generated_queries,targets result,gpt3 resilt,correct sintaxis,wrong query type,wrong query pattern,KG structure ignored,incomplete query,missed query,Angle brackets missed,incomplete triple,namespace mistake,hops target,hops generated,Errors sum
252,"SELECT DISTINCT ?v1 WHERE {
  wd:Q11168 wdt:P577 ?v2.
  wd:Q173626 wdt:P577 ?v3.
  BIND(IF(?v2 < ?v3, wd:Q11168, wd:Q173626) AS ?v1)
}","SELECT ?cp ?cm WHERE {
  wd:Q173626 wdt:P577 ?cp.
  wd:Q11168 wdt:P577 ?cm.
}",wd:Q173626,"cp                         cm
22 May 1980        1 January 1985
22 May 1980        13 September 1985
22 May 1980        1 January 1986
......",1,,1,,,,,,,,,1
253,"SELECT DISTINCT ?v1 WHERE {
  ?v1 wdt:P463 wd:Q51885404;
    wdt:P569 ?v2.
}
ORDER BY DESC (?v2)
LIMIT 1",SELECT ?member WHERE {    ?member <http://www.wikidata.org/prop/direct/P463> <http://www.wikidata.org/entity/Q51885404> .    ?member <http://www.wikidata.org/prop/direct/P569> ?date .    FILTER (?date = (SELECT MIN(?date) WHERE { ?member <http://www.wikidata.org/prop/direct/P569> ?date })) },wd:Q55287305,,FALSE,,1,,,,,,,,,1
254,"SELECT DISTINCT ?v1 WHERE {
  wd:Q615 wdt:P569 ?v2.
  wd:Q11571 wdt:P569 ?v3.
  BIND(IF(?v2 < ?v3, wd:Q615, wd:Q11571) AS ?v1)
}","SELECT ?number, ?number2 WHERE {    <http://www.wikidata.org/entity/Q11571> <http://www.wikidata.org/prop/direct/P569> ?number2 .    <http://www.wikidata.org/entity/Q615> <http://www.wikidata.org/prop/direct/P569> ?number .    FILTER (?number > ?number2) }",wd:Q11571,,FALSE,,1,,,,,,,,,1
255,"SELECT DISTINCT ?v1 WHERE {
  wd:Q151510 wdt:P571 ?v2.
  wd:Q156725 wdt:P571 ?v3.
  BIND(IF(?v2 < ?v3, wd:Q151510, wd:Q156725) AS ?v1)
}","SELECT ?number, ?number2 WHERE {    <http://www.wikidata.org/entity/Q151510> <http://www.wikidata.org/prop/direct/P571> ?number .    <http://www.wikidata.org/entity/Q156725> <http://www.wikidata.org/prop/direct/P571> ?number2 .  } ORDER BY ASC(?number) LIMIT 1",wd:Q151510,,FALSE,,1,,,,,,,,,1
256,"SELECT DISTINCT ?v1 WHERE {
  wd:Q177567 wdt:P2046 ?v2.
  wd:Q932289 wdt:P2046 ?v3.
  BIND(IF(?v2 > ?v3, wd:Q177567, wd:Q932289) AS ?v1)
}","SELECT ?aa ?ac WHERE {
  wd:Q177567 wdt:P2046 ?aa.
  wd:Q932289 wdt:P2046 ?ac.
}",wd:Q177567,"aa                  ac
6700000        1000000",1,,1,,,,,,,,,1
257,"SELECT DISTINCT ?v1 WHERE {
  wd:Q20718 wdt:P1128 ?v2.
  wd:Q312 wdt:P1128 ?v3.
  BIND(IF(?v2 > ?v3, wd:Q20718, wd:Q312) AS ?v1)
}","SELECT (MAX(?se, ?ae) AS ?maxEmployees) WHERE {    http://www.wikidata.org/entity/Q20718 http://www.wikidata.org/prop/direct/P1128 ?se .    http://www.wikidata.org/entity/Q312 http://www.wikidata.org/prop/direct/P1128 ?ae .  }",wd:Q312,,FALSE,,1,,,,1,,,,,2
258,"SELECT DISTINCT ?v1 WHERE {
  wd:Q20716 wdt:P571 ?v2.
  wd:Q41187 wdt:P571 ?v3.
  BIND(IF(?v2 > ?v3, wd:Q20716, wd:Q41187) AS ?v1)
}","SELECT ?company WHERE {    VALUES ?company { <http://www.wikidata.org/entity/Q20716> <http://www.wikidata.org/entity/Q41187> }    BIND(MAX(?sa, ?so) AS ?max)    FILTER(?sa = ?max || ?so = ?max)  }",wd:Q41187,,FALSE,,1,,,,,,,,,1
259,"SELECT DISTINCT ?v1 WHERE {
  wd:Q615 wdt:P2048 ?v2.
  wd:Q11571 wdt:P2048 ?v3.
  BIND(IF(?v2 > ?v3, wd:Q615, wd:Q11571) AS ?v1)
}","SELECT ?number, ?number2 WHERE { http://www.wikidata.org/entity/Q615 http://www.wikidata.org/prop/direct/P2048 ?number . http://www.wikidata.org/entity/Q11571 http://www.wikidata.org/prop/direct/P2048 ?number2 . }",wd:Q11571,,FALSE,,1,,,,1,,,,,2
260,"SELECT DISTINCT ?v1 WHERE {
  { SELECT (COUNT(DISTINCT ?v2) AS ?v3) WHERE { wd:Q41421 (p:P166/ps:P166) ?v2. } }
  { SELECT (COUNT(DISTINCT ?v4) AS ?v5) WHERE { wd:Q25369 (p:P166/ps:P166) ?v4. } }
  BIND(IF(?v3 > ?v5, wd:Q41421, wd:Q25369) AS ?v1)
}","@prefix ns1: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/Michael_Jordan> ns1:awards ""5"" .  <http://dbpedia.org/resource/Kobe_Bryant> ns1:awards ""4"" .   SELECT ?uri WHERE { ?uri <http://dbpedia.org/property/awards> ?awards } ORDER BY DESC(?awards) LIMIT 1",wd:Q41421,,FALSE,,1,,,,,,1,,,2
261,"ASK WHERE {
  wd:Q41421 (p:P2067/psn:P2067/wikibase:quantityAmount) ?v1.
  wd:Q25369 (p:P2067/psn:P2067/wikibase:quantityAmount) ?v2.
  BIND(IF(?v1 > ?v2, wd:Q41421, wd:Q25369) AS ?v3)
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Michael_Jordan> ns1:weight ?v1 .  <http://dbpedia.org/resource/Kobe_Bryant> ns1:weight ?v2 .  SELECT ?v1 WHERE {    <http://dbpedia.org/resource/Michael_Jordan> ns1:weight ?v1 .    <http://dbpedia.org/resource/Kobe_Bryant> ns1:weight ?v,true  ,,FALSE,1,1,,1,,,,1,,,4
262,"SELECT DISTINCT ?v1 WHERE {
  wd:Q42311 wdt:P569 ?v2.
  wd:Q9673 wdt:P569 ?v3.
  BIND(IF(?v2 < ?v3, wd:Q42311, wd:Q9673) AS ?v1)
}","SELECT ?bh ?bv WHERE {
  wd:Q9673 wdt:P569 ?bh.
  wd:Q42311 wdt:P569 ?bv.
  FILTER(?bh > ?bv)
}",wd:Q9673,-,1,,1,,,,,,,,,1
263,"SELECT DISTINCT ?v1 WHERE {
  wd:Q1748 wdt:P1082 ?v2.
  wd:Q727 wdt:P1082 ?v3.
  BIND(IF(?v2 > ?v3, wd:Q1748, wd:Q727) AS ?v1)
}","SELECT ?popc ?popa WHERE {
  wd:Q1748 wdt:P1082 ?popc.
  wd:Q727 wdt:P1082 ?popa.
}",wd:Q727,"popc            popa
644431        860124",1,,1,,,,,,,,,1
264,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE { 
  wd:Q673 wdt:P527 ?v1. 
}",SELECT (COUNT(?part) AS ?count) WHERE { http://www.wikidata.org/entity/Q673 http://www.wikidata.org/prop/direct/P527 ?part },24,,FALSE,,,,,,1,,,,,1
265,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 (wdt:P31/(wdt:P279*)) wd:Q95074;
    wdt:P106 wd:Q11397897;
    wdt:P21 wd:Q6581072.
}","SELECT (COUNT(?uri) AS ?count) WHERE {
  ?uri wdt:P106 wd:Q11397897;
    wdt:P21 wd:Q6581072.
}",73,75,1,,1,1,,,,,,,,2
266,"SELECT DISTINCT ?v1 WHERE {
  wd:Q2905359 wdt:P571 ?v2.
  wd:Q3821214 wdt:P571 ?v3.
  BIND(IF(?v2 < ?v3, wd:Q2905359, wd:Q3821214) AS ?v1)
}",SELECT ?incls ?incbd WHERE {    http://www.wikidata.org/entity/Q3821214 http://www.wikidata.org/prop/direct/P571 ?incls .    http://www.wikidata.org/entity/Q2905359 http://www.wikidata.org/prop/direct/P571 ?incbd .    FILTER (?incls < ?incbd) },wd:Q3821214,,FALSE,,1,,,,1,,,,,2
267,"SELECT DISTINCT ?v1 WHERE {
  wd:Q6583 wdt:P2046 ?v2.
  wd:Q208299 wdt:P2046 ?v3.
  BIND(IF(?v2 > ?v3, wd:Q6583, wd:Q208299) AS ?v1)
}","SELECT ?as ?aa WHERE {
  wd:Q6583 wdt:P2046 ?as.
  wd:Q208299 wdt:P2046 ?aa.
}",wd:Q6583,"as                   aa
9200000        2330000",1,,1,,,,,,,,,1
268,"SELECT DISTINCT ?v1 WHERE {
  wd:Q713701 wdt:P570 ?v2.
  wd:Q1057918 wdt:P570 ?v3.
  BIND(IF(?v2 > ?v3, wd:Q713701, wd:Q1057918) AS ?v1)
}","SELECT ?ds ?db WHERE {
  wd:Q713701 wdt:P570 ?ds.
  wd:Q1057918 wdt:P570 ?db.
}",wd:Q1057918,"ds                          db
18 June 1996        2 May 1998",1,,1,,,,,,,,,1
269,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q7347 wdt:P2046 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q7347 http://www.wikidata.org/prop/direct/P2046 ?result },208610,,FALSE,,,,,,1,,,,,1
270,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q17 (wdt:P85/wdt:P86/wdt:P1559) ?v1. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Kiyoshi_Hikawa> ns1:nativeName ?n .  SELECT DISTINCT ?n WHERE { <http://dbpedia.org/resource/Kiyoshi_Hikawa> <http://dbpedia.org/ontology/nativeName> ?n },林廣守,,FALSE,,1,,,,,,1,,,2
271,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q881 (wdt:P36/wdt:P112) ?v1. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Hanoi> a ns1:City ;     ns1:country <http://dbpedia.org/resource/Vietnam> ;     ns1:founder ?founder .  SELECT ?founder WHERE { ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/City> ; <http://dbpedia.org/ontology/,wd:Q716945,,FALSE,,1,,1,,,,1,,,3
272,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q7933 (wdt:P137/wdt:P1037) ?v1. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Neumayer_III_Station> ns1:operator <http://dbpedia.org/resource/Alfred_Wegener_Institute> ;     ns1:manager ?uri .  SELECT ?uri WHERE { <http://dbpedia.org/resource/Neumayer_III_Station> <http://dbpedia.org/ontology/manager> ?uri ; <http://dbpedia.org/ontology/operator> <http://,wd:Q101405,,FALSE,,1,,1,,,,1,,,3
273,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q676899 wdt:P2522 ?v1.
  ?v1 wdt:P3450 wd:Q19317.
}","SELECT (COUNT(?uri) AS ?count) WHERE {
  ?uri wdt:P2522 wd:Q19317;
    wdt:P3450 wd:Q46934.
}",4,0,1,,,1,,,,,,,,1
274,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q25231 (wdt:P36/wdt:P2046) ?v1. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Spitsbergen> a ns1:Island ;     ns1:capital <http://dbpedia.org/resource/Longyearbyen> .  SELECT ?area WHERE { ?uri <http://dbpedia.org/ontology/capital> <http://dbpedia.org/resource/Longyearbyen> ; <http://dbpedia.org/ontology/area> ?area },242.86,,FALSE,,1,,,,,,1,,,2
275,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q4127 wdt:P17 ?v1.
  ?v1 wdt:P30 wd:Q46.
}","SELECT (COUNT(?country) AS ?count) WHERE { 
  ?country wdt:P30 wd:Q46 . 
}",3,29872,1,,,1,,,,,,,,1
276,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE { 
  wd:Q151973 wdt:P26 ?v1. 
}",SELECT ?sp WHERE { http://www.wikidata.org/entity/Q151973 http://www.wikidata.org/prop/direct/P26 ?sp },4,,FALSE,,,,,,1,,,,,1
277,"SELECT DISTINCT ?v1 WHERE {
  ?v2 wdt:P735 wd:Q923;
    wdt:P734 wd:Q15840785;
    wdt:P106 wd:Q49757;
    wdt:P119 ?v1.
}",SELECT ?burial WHERE {    <http://www.wikidata.org/entity/Q164047> <http://www.wikidata.org/prop/direct/P119> ?burial .    <http://www.wikidata.org/entity/Q164047> <http://www.wikidata.org/prop/direct/P106> <http://www.wikidata.org/entity/Q49757> .    <http://www.wikidata.org/entity/Q164047,wd:Q84,,FALSE,,,,1,,,,,,,1
278,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q673223 (wdt:P84/wdt:P112) ?v1. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  @prefix ns2: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/Elbphilharmonie> a ns1:Building ;      ns1:architecturalFirm <http://dbpedia.org/resource/HafenCity_Hamburg_GmbH> .  <http://dbpedia.org/resource/HafenCity_Hamburg_GmbH> a ns1:Organisation ;,"wd:Q2745982
 wd:Q3174960",,FALSE,,,,,1,,,1,,,2
279,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q15920 (wdt:P112/wdt:P19/wdt:P17) ?v1. 
}","@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Metallica> a ns1:Band ;     ns1:founder <http://dbpedia.org/resource/Lars_Ulrich> ,     <http://dbpedia.org/resource/James_Hetfield> .  SELECT ?uri WHERE { ?uri <http://dbpedia.org/ontology/founder> <http://dbpedia.org/resource/Lars_Ulrich>, <http://dbpedia.org/resource/","wd:Q30
 wd:Q35",,FALSE,,1,,1,,,,1,,,3
280,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q506040 wdt:P495 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q506040 http://www.wikidata.org/prop/direct/P495 ?result },wd:Q408,,FALSE,,,,,,1,,,,,1
,,,,,"104,00","52,00","142,00","42,00","71,00","5,00","79,00","3,00","62,00",,,"456,00"
,,,,,"0,37","0,19","0,51","0,15","0,25","0,02","0,28","0,01","0,22",,,"1,63"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Doesn't generate ASK,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,FILTER - should we consider both massed and hallucinated?,,,,,,,,,,,,,,,
,wrong query type,SELECT instead of ASK,,,,,,,,,,,,,,
,wrong query pattern,"misuse of BIND, UNION, FILTER, COUNT, Prop paths etc. both missed or hallucinated",,,,,,,,,,,,,,
,incomplete query, cut queries,,,,,,,,,,,,,,
,namespace mistake,hallucanations with prefixes or namespaces,,,,,,,,,,,,,,
